comparison,armA,armB,mean_d_nDCG,median_d_nDCG,ci_lo,ci_hi,wilcoxon_p,n_A_better,n_B_better,n_tied,ci_significant,wilcoxon_significant,verdict,n_paired
shape enc: ULIP-2 vs Uni3D (isolated),E1_shape_only,E7_uni3d_shape_only,0.0017,0.0,-0.0053,0.0089,0.1104,1002,972,127,no,no,tie,2101
shape enc: ULIP-2 vs Uni3D (fused),E1c_full_fusion,E7_uni3d,-0.0045,0.0,-0.0081,-0.0009,0.5406,1009,1027,65,YES,no,outlier-driven (1009:1027) -> treat as tie,2101
colour: XYZ+RGB vs XYZ (isolated),E1_shape_only,O5_xyz_shape_only,-0.0068,-0.0075,-0.0164,0.0033,0.0007,847,1152,102,no,YES,"CONSISTENT (small, systematic; mean noisy)",2101
colour: XYZ+RGB vs XYZ (fused),E1c_full_fusion,O5_xyz_only,-0.0012,-0.0021,-0.0058,0.0035,0.0306,907,1119,75,no,YES,"CONSISTENT (small, systematic; mean noisy)",2101
ref: partial vs full-mesh (isolated),E1_shape_only,E2b_fullmesh_shape_only,0.0398,0.0,0.0275,0.0523,0.0,1021,974,106,YES,YES,REAL,2101
ref: partial vs full-mesh (fused),E1c_full_fusion,E2b_fullmesh,-0.0067,-0.0026,-0.0134,0.0003,0.0002,904,1127,70,no,YES,"CONSISTENT (small, systematic; mean noisy)",2101
appearance: DINOv2 vs SigLIP (isolated),E1_view_only,E4_siglip_only,0.0341,0.0279,0.0251,0.0431,0.0,1213,811,77,YES,YES,REAL,2101
combiner: weighted vs RRF (fused),E1c_full_fusion,E6_rrf,0.0124,0.0132,0.009,0.0158,0.0,1320,718,63,YES,YES,REAL,2101
geometry: none vs GeDi+RANSAC (fused),E1c_full_fusion,E2_chamfer_ransac,-0.0537,-0.0064,-0.0616,-0.046,0.0,599,1264,238,YES,YES,REAL,2101
config: BASE 16v/k8 -> 42v/k5 (fused),E1c_full_fusion,E1c_full_fusion,0.0021,-0.0002,0.0002,0.0041,0.6023,938,1064,99,YES,no,outlier-driven (938:1064) -> treat as tie,2101
